,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,David Akers,SFO,38,K,16,0,1,1,9,8,13,11,13,7,6,2,42,29,69.0%,44,44,100.0%,,,,,
2,Lawrence Tynes,NYG,34,K,16,0,,,11,11,16,14,9,7,3,1,39,33,84.6%,46,46,100.0%,,,,,
3,Matt Bryant,ATL,37,K,16,0,1,1,9,8,11,10,13,10,4,4,38,33,86.8%,44,44,100.0%,,,,,
4,Shayne Graham,HOU,35,K,16,0,1,1,8,8,11,11,9,7,9,4,38,31,81.6%,45,45,100.0%,,,,,
5,Blair Walsh*+,MIN,22,K,16,0,,,10,10,9,8,9,7,10,10,38,35,92.1%,36,36,100.0%,,,,,
6,Jason Hanson,DET,42,K,16,0,1,1,3,3,10,10,19,16,3,2,36,32,88.9%,38,38,100.0%,3,118,46,0,39.3
7,Stephen Gostkowski,NWE,28,K,16,0,,,8,8,12,10,13,9,2,2,35,29,82.9%,66,66,100.0%,,,,,
8,Sebastian Janikowski,OAK,34,K,16,0,1,1,9,9,10,10,5,5,9,6,34,31,91.2%,25,25,100.0%,,,,,
9,Ryan Succop,KAN,26,K,16,0,,,5,4,15,12,12,10,2,2,34,28,82.4%,17,17,100.0%,,,,,
10,Connor Barth,TAM,26,K,15,0,,,7,7,4,3,13,12,9,6,33,28,84.8%,39,39,100.0%,,,,,
11,Mason Crosby,GNB,28,K,16,0,,,5,5,7,5,12,9,9,2,33,21,63.6%,50,50,100.0%,,,,,
12,Justin Tucker,BAL,23,K,16,0,,,8,8,8,8,13,10,4,4,33,30,90.9%,42,42,100.0%,,,,,
13,Adam Vinatieri,IND,40,K,16,0,1,1,8,8,7,4,10,9,7,4,33,26,78.8%,37,37,100.0%,,,,,
14,Matt Prater,DEN,28,K,16,0,1,1,7,7,11,10,9,5,4,3,32,26,81.3%,55,55,100.0%,,,,,
15,Dan Bailey,DAL,24,K,16,0,1,1,5,5,13,13,7,7,5,3,31,29,93.5%,37,37,100.0%,,,,,
16,Rob Bironas,TEN,34,K,16,0,,,6,6,13,13,10,5,2,1,31,25,80.6%,35,35,100.0%,,,,,
17,Phil Dawson*,CLE,37,K,16,0,,,9,8,9,8,6,6,7,7,31,29,93.5%,29,29,100.0%,,,,,
18,Alex Henery,PHI,25,K,16,0,,,9,8,9,8,12,11,1,,31,27,87.1%,26,25,96.2%,,,,,
19,Shaun Suisham,PIT,31,K,16,0,,,8,7,8,8,12,12,3,1,31,28,90.3%,34,34,100.0%,,,,,
20,Greg Zuerlein,STL,25,K,16,0,1,1,4,4,6,4,7,7,13,7,31,23,74.2%,26,26,100.0%,,,,,
21,Jay Feely,ARI,36,K,16,0,,,6,6,10,9,10,8,2,2,28,25,89.3%,25,25,100.0%,,,,,
22,Josh Scobee,JAX,30,K,16,0,1,1,4,4,8,8,13,11,2,1,28,25,89.3%,19,18,94.7%,,,,,
23,Dan Carpenter,MIA,27,K,14,0,,,3,3,9,9,10,8,5,2,27,22,81.5%,26,26,100.0%,1,29,29,0,29.0
24,Nick Folk,NYJ,28,K,16,0,,,8,7,8,6,7,5,4,3,27,21,77.8%,30,30,100.0%,,,,,
25,Stephen Hauschka,SEA,27,K,16,0,1,1,7,7,10,10,5,5,4,1,27,24,88.9%,48,46,95.8%,,,,,
26,Robbie Gould,CHI,30,K,13,0,,,7,7,7,5,9,7,2,2,25,21,84.0%,33,33,100.0%,,,,,
27,Rian Lindell,BUF,35,K,16,0,1,1,3,3,11,10,7,6,2,1,24,21,87.5%,39,39,100.0%,,,,,
28,Mike Nugent,CIN,30,K,12,0,2,2,5,5,5,5,9,6,2,1,23,19,82.6%,35,35,100.0%,,,,,
