,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
0,Matt Schaub*,HOU,28,QB,16,16,9-7-0,396,583,67.9,4770,29,5.0,15,2.6,72,8.2,8.0,12.0,298.1,98.6,73.8,25,149,7.60,7.44,4.1,2,4
1,Peyton Manning*+,IND,33,QB,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,80,7.9,7.8,11.5,281.3,99.9,81.3,10,74,7.62,7.51,1.7,7,7
2,Tom Brady*,NWE,32,QB,16,16,10-6-0,371,565,65.7,4398,28,5.0,13,2.3,81,7.8,7.7,11.9,274.9,96.2,73.2,16,86,7.42,7.38,2.8,1,1
3,Jay Cutler,CHI,26,QB,16,16,7-9-0,336,555,60.5,3666,27,4.9,26,4.7,71,6.6,5.5,10.9,229.1,76.8,50.3,35,204,5.87,4.80,5.9,2,4
4,Tony Romo*,DAL,29,QB,16,16,11-5-0,347,550,63.1,4483,26,4.7,9,1.6,80,8.2,8.4,12.9,280.2,97.6,64.5,34,196,7.34,7.54,5.8,3,3
5,Kyle Orton,DEN,27,QB,16,15,8-7-0,336,541,62.1,3802,21,3.9,12,2.2,87,7.0,6.8,11.3,237.6,86.8,57.7,29,159,6.39,6.18,5.1,3,3
6,Aaron Rodgers*,GNB,26,QB,16,16,11-5-0,350,541,64.7,4434,30,5.5,7,1.3,83,8.2,8.7,12.7,277.1,103.2,70.7,50,306,6.98,7.47,8.5,2,2
7,Brett Favre*,MIN,40,QB,16,16,12-4-0,363,531,68.4,4202,33,6.2,7,1.3,63,7.9,8.6,11.6,262.6,107.2,75.6,34,247,7.00,7.61,6.0,2,2
8,David Garrard*,JAX,31,QB,16,16,7-9-0,314,516,60.9,3597,15,2.9,10,1.9,63,7.0,6.7,11.5,224.8,83.5,55.5,42,236,6.02,5.75,7.5,3,4
9,Drew Brees*,NOR,30,QB,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,75,8.5,8.9,12.1,292.5,109.6,83.4,20,135,7.96,8.31,3.7,2,4
10,Kurt Warner,ARI,38,QB,15,15,10-5-0,339,513,66.1,3753,26,5.1,14,2.7,45,7.3,7.1,11.1,250.2,93.2,68.1,24,172,6.67,6.46,4.5,1,2
11,Eli Manning,NYG,28,QB,16,16,8-8-0,317,509,62.3,4021,27,5.3,14,2.8,74,7.9,7.7,12.7,251.3,93.1,69.8,30,216,7.06,6.89,5.6,1,2
12,Jason Campbell,WAS,28,QB,16,16,4-12-0,327,507,64.5,3618,20,3.9,15,3.0,84,7.1,6.6,11.1,226.1,86.4,54.7,43,285,6.06,5.56,7.8,1,1
13,Ben Roethlisberger,PIT,27,QB,15,15,9-6-0,337,506,66.6,4328,26,5.1,12,2.4,60,8.6,8.5,12.8,288.5,100.5,69.0,50,348,7.16,7.12,9.0,2,3
14,Joe Flacco,BAL,24,QB,16,16,9-7-0,315,499,63.1,3613,21,4.2,12,2.4,72,7.2,7.0,11.5,225.8,88.9,59.8,36,218,6.35,6.12,6.7,1,2
15,Matt Cassel,KAN,27,QB,15,15,4-11-0,271,493,55.0,2924,16,3.2,16,3.2,61,5.9,5.1,10.8,194.9,69.9,29.1,42,243,5.01,4.26,7.9,1,2
16,Matt Hasselbeck,SEA,34,QB,14,14,5-9-0,293,488,60.0,3029,17,3.5,17,3.5,53,6.2,5.3,10.3,216.4,75.1,35.0,32,209,5.42,4.61,6.2,0,1
17,Philip Rivers*,SDG,28,QB,16,16,13-3-0,317,486,65.2,4254,28,5.8,9,1.9,81,8.8,9.1,13.4,265.9,104.4,76.9,25,167,8.00,8.30,4.9,2,4
18,Carson Palmer,CIN,30,QB,16,16,10-6-0,282,466,60.5,3094,21,4.5,13,2.8,73,6.6,6.3,11.0,193.4,83.6,59.5,26,213,5.86,5.52,5.3,3,5
19,Chad Henne,MIA,24,QB,14,13,7-6-0,274,451,60.8,2878,12,2.7,14,3.1,67,6.4,5.5,10.5,205.6,75.2,52.8,26,176,5.66,4.85,5.5,3,3
20,Matt Ryan,ATL,24,QB,14,14,9-5-0,263,451,58.3,2916,22,4.9,14,3.1,90,6.5,6.0,11.1,208.3,80.9,64.9,19,92,6.01,5.60,4.0,1,3
21,Donovan McNabb*,PHI,33,QB,14,14,10-4-0,267,443,60.3,3553,22,5.0,10,2.3,60,8.0,8.0,13.3,253.8,92.9,57.0,35,264,6.88,6.86,7.3,2,3
22,Matthew Stafford,DET,21,QB,10,10,2-8-0,201,377,53.3,2267,13,3.4,20,5.3,75,6.0,4.3,11.3,226.7,61.0,37.0,24,169,5.23,3.64,6.0,1,1
23,Alex Smith,SFO,25,QB,11,10,5-5-0,225,372,60.5,2350,18,4.8,12,3.2,73,6.3,5.8,10.4,213.6,81.5,44.4,22,134,5.62,5.17,5.6,,
24,Mark Sanchez,NYJ,23,QB,15,15,8-7-0,196,364,53.8,2444,12,3.3,20,5.5,65,6.7,4.9,12.5,162.9,63.0,34.8,26,195,5.77,4.07,6.7,,
25,Jake Delhomme,CAR,34,QB,11,11,4-7-0,178,321,55.5,2015,8,2.5,18,5.6,52,6.3,4.3,11.3,183.2,59.4,36.9,23,187,5.31,3.42,6.7,1,2
26,Josh Freeman,TAM,21,QB,10,9,3-6-0,158,290,54.5,1855,10,3.4,18,6.2,42,6.4,4.3,11.7,185.5,59.8,37.2,20,102,5.65,3.69,6.5,2,2
27,Vince Young*,TEN,26,QB,12,10,8-2-0,152,259,58.7,1879,10,3.9,7,2.7,66,7.3,6.8,12.4,156.6,82.8,69.5,9,36,6.88,6.45,3.4,3,6
28,Brady Quinn,CLE,25,QB,10,9,2-7-0,136,256,53.1,1339,8,3.1,7,2.7,59,5.2,4.6,9.8,133.9,67.2,42.7,19,104,4.49,3.93,6.9,0,1
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Marc Bulger,STL,32,QB,9,8,1-7-0,140,247,56.7,1469,5,2.0,6,2.4,50,5.9,5.3,10.5,163.2,70.7,32.3,14,85,5.30,4.65,5.4,0,1
31,JaMarcus Russell,OAK,24,QB,12,9,2-7-0,120,246,48.8,1287,3,1.2,11,4.5,86,5.2,3.5,10.7,107.3,50.0,19.5,33,207,3.87,2.31,11.8,2,2
32,Ryan Fitzpatrick,BUF,27,QB,10,8,4-4-0,127,227,55.9,1422,9,4.0,10,4.4,98,6.3,5.1,11.2,142.2,69.7,35.3,21,127,5.22,4.13,8.5,1,2
33,Kerry Collins,TEN,37,qb,7,6,0-6-0,119,216,55.1,1225,6,2.8,8,3.7,69,5.7,4.6,10.3,175.0,65.5,41.1,6,37,5.35,4.27,2.7,,
34,Trent Edwards,BUF,26,qb,8,7,2-5-0,110,183,60.1,1169,6,3.3,7,3.8,46,6.4,5.3,10.6,146.1,73.8,30.3,23,139,5.00,4.05,11.2,,
35,Derek Anderson,CLE,26,qb,8,7,3-4-0,81,182,44.5,888,3,1.6,10,5.5,43,4.9,2.7,11.0,111.0,42.1,23.1,11,75,4.21,2.19,5.7,0,1
36,Kyle Boller,STL,28,qb,7,4,0-4-0,98,176,55.7,899,3,1.7,6,3.4,35,5.1,3.9,9.2,128.4,61.2,21.6,17,117,4.05,2.96,8.8,,
37,Daunte Culpepper,DET,32,qb,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,38,6.0,4.7,10.6,118.1,64.8,39.6,14,107,4.90,3.67,8.2,,
38,Shaun Hill,SFO,29,qb,6,6,3-3-0,87,155,56.1,943,5,3.2,2,1.3,61,6.1,6.1,10.8,157.2,79.6,38.1,18,107,4.83,4.89,10.4,1,1
39,Bruce Gradkowski,OAK,26,qb,7,4,2-2-0,82,150,54.7,1007,6,4.0,3,2.0,75,6.7,6.6,12.3,143.9,80.6,60.0,11,71,5.81,5.72,6.8,2,2
