,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
0,,,,,,,,,,,,,
1,Chris Johnson*+,TEN,24,RB,16,16,358,2006,14,91,5.6,125.4,3
2,Thomas Jones,NYJ,31,RB,16,16,331,1402,14,71,4.2,87.6,2
3,Steven Jackson*,STL,26,RB,15,15,324,1416,4,58,4.4,94.4,2
4,Adrian Peterson*+,MIN,24,RB,16,15,314,1383,18,64,4.4,86.4,7
5,Maurice Jones-Drew*,JAX,24,RB,16,16,312,1391,15,80,4.5,86.9,2
6,Cedric Benson,CIN,27,RB,13,13,301,1251,6,42,4.2,96.2,1
7,Ryan Grant,GNB,27,RB,16,16,282,1253,11,62,4.4,78.3,1
8,Matt Forte,CHI,24,RB,16,16,258,929,4,61,3.6,58.1,6
9,Ray Rice*,BAL,22,RB,16,15,254,1339,7,59,5.3,83.7,3
10,Knowshon Moreno,DEN,22,RB,16,9,247,947,7,36,3.8,59.2,4
11,Rashard Mendenhall,PIT,22,RB,16,12,242,1108,7,60,4.6,69.3,3
12,Ricky Williams,MIA,32,rb,16,7,241,1121,11,68,4.7,70.1,5
13,Fred Jackson,BUF,28,RB/wr,16,11,237,1062,2,43,4.5,66.4,4
14,Frank Gore*,SFO,26,RB,14,14,229,1120,10,80,4.9,80.0,4
15,Brandon Jacobs,NYG,27,RB,15,15,224,835,5,31,3.7,55.7,2
16,LaDainian Tomlinson,SDG,30,RB,14,14,223,730,12,36,3.3,52.1,2
17,Jonathan Stewart,CAR,22,rb,16,3,221,1133,10,67,5.1,70.8,3
18,Joseph Addai,IND,26,RB,15,15,219,828,10,21,3.8,55.2,1
19,Kevin Smith,DET,23,RB,13,13,217,747,4,31,3.4,57.5,3
20,DeAngelo Williams*,CAR,26,RB,13,13,216,1117,7,77,5.2,85.9,3
21,Marion Barber,DAL,26,RB,15,15,214,932,7,35,4.4,62.1,2
22,Cadillac Williams,TAM,27,RB,16,15,211,823,4,35,3.9,51.4,1
23,Jerome Harrison,CLE,26,rb,14,7,194,862,5,71,4.4,61.6,2
24,Laurence Maroney,NWE,24,rb,15,5,194,757,9,45,3.9,50.5,4
25,Jamaal Charles,KAN,23,RB,15,10,190,1120,7,76,5.9,74.7,4
26,Larry Johnson,2TM,30,,14,7,178,581,0,27,3.3,41.5,2
27,Michael Turner,ATL,27,RB,11,11,178,871,10,58,4.9,79.2,4
28,Julius Jones,SEA,28,RB,14,14,177,663,2,62,3.7,47.4,0
29,Beanie Wells,ARI,21,,16,0,176,793,7,33,4.5,49.6,4
30,,,,,,,,,,,,,
31,Mike Bell,NOR,26,rb,13,3,172,654,5,35,3.8,50.3,2
32,Ahmad Bradshaw,NYG,23,rb,15,1,163,778,7,38,4.8,51.9,3
33,LeSean McCoy,PHI,21,rb,16,4,155,637,4,66,4.1,39.8,2
34,Ronnie Brown,MIA,28,RB,9,9,147,648,8,45,4.4,72.0,1
35,Pierre Thomas,NOR,25,rb,14,6,147,793,6,34,5.4,56.6,2
36,Tim Hightower,ARI,23,RB,16,16,143,598,8,50,4.2,37.4,5
37,Jamal Lewis,CLE,30,RB,9,8,143,500,0,18,3.5,55.6,0
38,Jason Snelling,ATL,26,rb,14,2,142,613,4,31,4.3,43.8,2
39,Steve Slaton,HOU,23,RB,11,10,131,437,3,32,3.3,39.7,7
