,Player,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
0,David Akers*+,SFO,37,K,16,0,,,,,,,,,,,34,34,44,52,,166,10.4
1,John Kasay,NOR,42,K,16,0,,,,,,,,,,,63,63,28,34,,147,9.2
2,Stephen Gostkowski,NWE,27,K,16,0,,,,,,,,,,,59,59,28,33,,143,8.9
3,Mason Crosby,GNB,27,K,16,0,,,,,,,,,,,68,69,24,28,,140,8.8
4,Dan Bailey,DAL,23,K,16,0,,,,,,,,,,,39,39,32,37,,135,8.4
5,Neil Rackers,HOU,35,K,16,0,,,,,,,,,,,39,40,32,38,,135,8.4
6,Mike Nugent,CIN,29,K,16,0,,,,,,,,,,,33,34,33,38,,132,8.3
7,Sebastian Janikowski*,OAK,33,K,15,0,,,,,,,,,,,36,36,31,35,,129,8.6
8,Matt Bryant,ATL,36,k,16,0,,,,,,,,,,,45,45,27,29,,126,7.9
9,Jason Hanson,DET,41,K,16,0,,,,,,,,,,,54,54,24,29,,126,7.9
10,Billy Cundiff,BAL,31,K,15,0,,,,,,,,,,,38,38,28,37,,122,8.1
11,Nick Novak,SDG,30,K,15,0,,,,,,,,,,,41,42,27,34,,122,8.1
12,Rob Bironas,TEN,33,K,16,0,,,,,,,,,,,34,34,29,32,,121,7.6
13,Robbie Gould,CHI,29,K,16,0,,,,,,,,,,,37,37,28,32,,121,7.6
14,LeSean McCoy*+,PHI,23,RB,15,15,17,3,,,,,,20,,,,,,,,120,8.0
15,Graham Gano,WAS,24,K,16,0,,,,,,,,,,,25,26,31,41,,118,7.4
16,Alex Henery,PHI,24,K,16,0,,,,,,,,,,,46,46,24,27,,118,7.4
17,Dan Carpenter,MIA,26,K,14,0,,,,,,,,,,,26,26,29,34,,113,8.1
18,Olindo Mare,CAR,38,K,16,0,,,,,,,,,,,44,45,22,28,,110,6.9
19,Stephen Hauschka,SEA,26,K,16,0,,,,,,,,,,,34,34,25,30,,109,6.8
20,Rob Gronkowski*+,NWE,22,TE,16,16,1,17,,,,,,18,,,,,,,,108,6.8
21,Shaun Suisham,PIT,30,K,16,0,,,,,,,,,,,36,36,23,31,,105,6.6
22,Ryan Longwell,MIN,37,K,16,0,,,,,,,,,,,38,39,22,28,,104,6.5
23,Connor Barth,TAM,25,K,16,0,,,,,,,,,,,23,23,26,28,,101,6.3
24,Nick Folk,NYJ,27,K,16,0,,,,,,,,,,,44,44,19,25,,101,6.3
25,Lawrence Tynes,NYG,33,,16,0,,,,,,,,,,,43,43,19,24,,100,6.3
26,Calvin Johnson*+,DET,26,WR,16,16,,16,,,,,,16,,,,,,,,96,6.0
27,Josh Scobee,JAX,29,K,16,0,,,,,,,,,,,24,24,23,25,,93,5.8
28,Adam Vinatieri,IND,39,K,16,0,,,,,,,,,,,24,24,23,27,,93,5.8
29,,,,,,,,,,,,,,,,,,,,,,,
30,Phil Dawson,CLE,36,K,16,0,,,,,,,,,,,20,20,24,29,,92,5.8
31,Ryan Succop,KAN,25,K,16,0,,,,,,,,,,,20,20,24,30,,92,5.8
32,Jay Feely,ARI,35,K,16,0,,,,,,,,,,,33,33,19,24,,90,5.6
33,Jordy Nelson,GNB,26,WR,16,9,,15,,,,,,15,,,,,,,,90,5.6
34,Ray Rice*,BAL,24,RB,16,16,12,3,,,,,,15,,,,,,,,90,5.6
35,Matt Prater,DEN,27,K,16,0,,,,,,,,,,,30,30,19,25,,87,5.4
36,Cam Newton*,CAR,22,QB,16,16,14,,,,,,,14,,,,,,,,84,5.3
37,Josh Brown,STL,32,K,16,0,,,,,,,,,,,18,18,21,28,,81,5.1
38,Marshawn Lynch*,SEA,25,RB,15,15,12,1,,,,,,13,,,,,,,,78,5.2
39,Adrian Peterson,MIN,26,RB,12,12,12,1,,,,,,13,,,,,,,,78,6.5
40,Arian Foster*,HOU,25,RB,13,13,10,2,,,,,,12,,,,,,,,72,5.5
41,Ahmad Bradshaw,NYG,25,RB,12,9,9,2,,,,,,11,1,,,,,,,68,5.7
42,Jimmy Graham*,NOR,25,TE,16,11,,11,,,,,,11,,,,,,,,66,4.1
43,BenJarvus Green-Ellis,NWE,26,rb,16,6,11,,,,,,,11,,,,,,,,66,4.1
44,Maurice Jones-Drew*+,JAX,26,RB,16,16,8,3,,,,,,11,,,,,,,,66,4.1
45,Laurent Robinson,DAL,26,wr,14,4,,11,,,,,,11,,,,,,,,66,4.7
46,Michael Turner,ATL,29,RB,16,15,11,,,,,,,11,,,,,,,,66,4.1
47,Rian Lindell,BUF,34,K,8,0,,,,,,,,,,,25,25,13,15,,64,8.0
48,Darren Sproles,NOR,28,rb,16,4,2,7,1,,,,,10,,,,,,,,60,3.8
49,Mike Tolbert,SDG,26,rb,15,1,8,2,,,,,,10,,,,,,,,60,4.0
50,Beanie Wells,ARI,23,RB,14,14,10,,,,,,,10,,,,,,,,60,4.3
51,Dez Bryant,DAL,23,WR,15,13,,9,,,,,,9,,,,,,,,54,3.6
