,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,FPoints,Name,Position,Season
,Rk,Date,G#,Week,Age,Tm,Unnamed: 6_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,,,,
0,1.0,2018-09-09,1.0,1.0,22.357,KAN,@,LAC,W 38-28,*,15,27,55.56,256,4,0,127.5,1,0,9.48,12.44,5,21,4.2,0,0.0,0,0,0,0,0,0,0,56.0,100%,0.0,0%,0.0,0%,28.34,Patrick Mahomes,QB,2018
1,2.0,2018-09-16,2.0,2.0,22.364,KAN,@,PIT,W 42-37,*,23,28,82.14,326,6,0,154.8,1,4,11.64,15.93,5,18,3.6,0,0.0,0,0,1,0,1,-2,0,58.0,100%,0.0,0%,0.0,0%,38.84,Patrick Mahomes,QB,2018
2,3.0,2018-09-23,3.0,3.0,23.006,KAN,0,SFO,W 38-27,*,24,38,63.16,314,3,0,115.5,2,7,8.26,9.84,5,7,1.4,0,0.0,0,0,1,0,1,0,0,75.0,100%,0.0,0%,0.0,0%,25.26,Patrick Mahomes,QB,2018
3,4.0,2018-10-01,4.0,4.0,23.014,KAN,@,DEN,W 27-23,*,28,45,62.22,304,1,0,89.5,1,0,6.76,7.2,3,7,2.33,1,0.0,1,6,1,0,1,-2,0,78.0,100%,0.0,0%,0.0,0%,22.86,Patrick Mahomes,QB,2018
4,5.0,2018-10-07,5.0,5.0,23.02,KAN,0,JAX,W 30-14,*,22,38,57.89,313,0,2,62.7,1,15,8.24,5.87,4,13,3.25,1,0.0,1,6,0,0,0,0,0,70.0,100%,0.0,0%,0.0,0%,15.82,Patrick Mahomes,QB,2018
5,6.0,2018-10-14,6.0,6.0,23.026999999999997,KAN,@,NWE,L 40-43,*,23,36,63.89,352,4,2,110.0,0,0,9.78,9.5,2,9,4.5,0,0.0,0,0,0,0,0,0,0,54.0,100%,0.0,0%,0.0,0%,26.98,Patrick Mahomes,QB,2018
6,7.0,2018-10-21,7.0,7.0,23.034000000000002,KAN,0,CIN,W 45-10,*,28,39,71.79,358,4,1,123.7,2,5,9.18,10.08,4,45,11.25,0,0.0,0,0,2,0,2,0,0,70.0,100%,0.0,0%,0.0,0%,32.82,Patrick Mahomes,QB,2018
7,8.0,2018-10-28,8.0,8.0,23.041,KAN,0,DEN,W 30-23,*,24,34,70.59,303,4,1,125.0,2,12,8.91,9.94,2,-1,-0.5,0,0.0,0,0,0,0,0,0,0,58.0,100%,0.0,0%,0.0,0%,26.02,Patrick Mahomes,QB,2018
8,9.0,2018-11-04,9.0,9.0,23.048000000000002,KAN,@,CLE,W 37-21,*,23,32,71.88,375,3,1,129.0,2,15,11.72,12.19,2,18,9.0,0,0.0,0,0,0,0,0,0,0,63.0,100%,0.0,0%,0.0,0%,26.8,Patrick Mahomes,QB,2018
9,10.0,2018-11-11,10.0,10.0,23.055,KAN,0,ARI,W 26-14,*,21,28,75.0,249,2,0,125.4,5,37,8.89,10.32,4,21,5.25,0,0.0,0,0,0,0,0,0,0,59.0,100%,0.0,0%,0.0,0%,20.06,Patrick Mahomes,QB,2018
10,11.0,2018-11-19,11.0,11.0,23.063000000000002,KAN,@,LAR,L 51-54,*,33,46,71.74,478,6,3,117.6,3,30,10.39,10.07,6,28,4.67,0,0.0,0,0,2,0,0,0,0,72.0,100%,0.0,0%,0.0,0%,35.92,Patrick Mahomes,QB,2018
11,12.0,2018-12-02,12.0,13.0,23.076,KAN,@,OAK,W 40-33,*,23,38,60.53,295,4,0,120.0,0,0,7.76,9.87,9,52,5.78,0,0.0,0,0,0,0,0,0,0,71.0,100%,0.0,0%,0.0,0%,33.0,Patrick Mahomes,QB,2018
12,13.0,2018-12-09,13.0,14.0,23.083000000000002,KAN,0,BAL,W 27-24,*,35,53,66.04,377,2,1,91.5,3,29,7.11,7.02,2,-3,-1.5,0,0.0,0,0,1,0,0,0,0,86.0,100%,0.0,0%,0.0,0%,20.78,Patrick Mahomes,QB,2018
13,14.0,2018-12-13,14.0,15.0,23.087,KAN,0,LAC,L 28-29,*,24,34,70.59,243,2,0,110.3,2,9,7.15,8.32,2,3,1.5,0,0.0,0,0,1,0,0,0,0,60.0,100%,0.0,0%,0.0,0%,18.02,Patrick Mahomes,QB,2018
14,15.0,2018-12-23,15.0,16.0,23.096999999999998,KAN,@,SEA,L 31-38,*,23,40,57.5,273,3,0,103.4,1,8,6.83,8.33,3,33,11.0,0,1.0,0,2,0,0,0,0,0,61.0,100%,0.0,0%,0.0,0%,28.22,Patrick Mahomes,QB,2018
15,16.0,2018-12-30,16.0,17.0,23.104,KAN,0,OAK,W 35-3,*,14,24,58.33,281,2,1,109.9,0,0,11.71,11.5,2,1,0.5,0,0.0,0,0,0,0,0,0,0,41.0,76%,0.0,0%,0.0,0%,17.34,Patrick Mahomes,QB,2018
